Team,Elo Rating
Barcelona,1654.649032938442
Real Madrid,1621.5623485500228
Villarreal,1561.4636363965476
Ath Madrid,1547.362671463163
Betis,1545.3572595571923
Vallecano,1515.0807097155748
Celta,1511.043879249664
Valencia,1505.3586900057744
Getafe,1494.2480204863296
Sociedad,1477.4935446903742
Levante,1476.493806804445
Alaves,1471.005612972533
Elche,1467.630005185724
Girona,1463.594322336768
Mallorca,1462.5065811634222
Sevilla,1458.1525723566428
Espanol,1458.0231298952285
Ath Bilbao,1453.8299960562097
Osasuna,1446.9388334351142
Oviedo,1408.2053467408275
