EV Threshold,Bets,Win Rate,Average Odds,Average EV,Profit,ROI
0.03,444,0.38063063063063063,3.2788063063063064,0.1706336220980543,-12.970000000000006,-0.029211711711711726
0.05,401,0.3640897755610973,3.349775561097257,0.18467628301288813,-30.859999999999996,-0.0769576059850374
0.08,314,0.3630573248407643,3.36687898089172,0.21819130022818772,-23.880000000000003,-0.07605095541401274
0.1,269,0.34944237918215615,3.412639405204461,0.23977717974520554,-23.87,-0.0887360594795539
0.12,230,0.3521739130434783,3.521434782608696,0.26174516183045676,-11.940000000000001,-0.051913043478260874
0.15,183,0.3442622950819672,3.7318032786885245,0.29408207713710627,-10.290000000000004,-0.05622950819672134
0.2,128,0.3046875,3.907265625,0.3457396297863009,-18.450000000000003,-0.14414062500000002
0.25,80,0.2625,4.059875,0.4162693480578016,-18.560000000000002,-0.23200000000000004
0.3,53,0.16981132075471697,4.477547169811321,0.489491081873211,-27.9,-0.5264150943396226
