Strategy,EV Threshold,Min Odds,Max Odds,Total Bets,Win Rate,Average Odds,Average EV,Profit,ROI,Profitable Seasons,Worst Season ROI,Best Season ROI,Max Drawdown
"EV>=15%, Odds 2.00-3.00",0.15,2.0,3.0,252,0.4444444444444444,2.4371428571428573,0.3019209692711591,19.499999999999996,0.07738095238095237,5,0.008780487804878013,0.17179487179487174,12.45
"EV>=12%, Odds 2.00-3.00",0.12,2.0,3.0,294,0.445578231292517,2.4220748299319723,0.27809923003361425,21.86,0.07435374149659864,4,-0.07849056603773588,0.2083870967741935,12.349999999999998
"EV>=10%, Odds 2.00-3.00",0.1,2.0,3.0,328,0.43902439024390244,2.4137804878048783,0.26051394115189425,17.359999999999992,0.05292682926829266,4,-0.0976271186440678,0.15239436619718305,12.820000000000007
"EV>=15%, Odds 1.50-3.00",0.15,1.5,3.0,353,0.4730878186968839,2.2338243626062324,0.2842911928524759,12.759999999999998,0.03614730878186968,4,-0.012990654205607481,0.13240740740740742,12.469999999999999
"EV>=3%, Odds 2.00-3.00",0.03,2.0,3.0,433,0.4341801385681293,2.407274826789838,0.21353764592621774,14.949999999999998,0.03452655889145496,4,-0.11675675675675679,0.11690476190476189,17.440000000000015
"EV>=5%, Odds 1.50-3.00",0.05,1.5,3.0,632,0.49050632911392406,2.162674050632911,0.2023537172854003,16.86,0.026677215189873416,4,-0.04126126126126125,0.09852459016393442,21.059999999999995
"EV>=8%, Odds 2.00-3.00",0.08,2.0,3.0,360,0.425,2.4211388888888887,0.2454851867910419,7.190000000000003,0.01997222222222223,4,-0.18092307692307696,0.09901234567901232,17.89
"EV>=3%, Odds 1.50-3.00",0.03,1.5,3.0,696,0.4885057471264368,2.1473132183908046,0.1875123235402032,10.839999999999998,0.015574712643678159,4,-0.11346774193548385,0.08942028985507246,28.459999999999997
"EV>=5%, Odds 2.00-3.00",0.05,2.0,3.0,406,0.43596059113300495,2.4099014778325123,0.22493246881554424,16.429999999999996,0.040467980295566496,3,-0.05350000000000001,0.0890322580645161,15.08000000000001
"EV>=12%, Odds 1.50-3.00",0.12,1.5,3.0,435,0.4804597701149425,2.1976551724137927,0.2559784655446045,14.879999999999995,0.034206896551724125,3,-0.02563025210084032,0.15941176470588236,12.94
"EV>=12%, Odds 2.00-4.00",0.12,2.0,4.0,527,0.3757115749525617,2.85719165085389,0.2752191332743147,14.559999999999992,0.027628083491461085,3,-0.17085714285714287,0.2777884615384615,32.88999999999999
"EV>=10%, Odds 1.50-3.00",0.1,1.5,3.0,490,0.47959183673469385,2.1841020408163265,0.23936747281540888,10.709999999999997,0.021857142857142853,3,-0.01880952380952379,0.07281249999999999,14.859999999999996
"EV>=3%, Odds 2.00-4.00",0.03,2.0,4.0,875,0.36457142857142855,2.9093714285714287,0.1954562843952259,10.899999999999984,0.012457142857142839,3,-0.19201219512195122,0.15362573099415205,48.61000000000002
"EV>=12%, Odds 1.50-4.00",0.12,1.5,4.0,668,0.41317365269461076,2.6192065868263477,0.2614220690382997,7.58,0.011347305389221556,3,-0.16703296703296705,0.23277777777777778,39.06999999999999
"EV>=3%, Odds 1.50-4.00",0.03,1.5,4.0,1138,0.413884007029877,2.634340949033392,0.1837179484567239,6.789999999999996,0.00596660808435852,3,-0.17252336448598132,0.12795555555555554,51.84
"EV>=5%, Odds 1.50-4.00",0.05,1.5,4.0,1030,0.41262135922330095,2.640252427184466,0.19877098479624053,3.91,0.0037961165048543692,3,-0.14169230769230767,0.15435,43.73
"EV>=3%, Odds 2.00-5.00",0.03,2.0,5.0,1009,0.34390485629335976,3.093498513379584,0.198451534292331,-4.320000000000007,-0.004281466798810711,3,-0.22224598930481285,0.1698019801980198,73.99000000000001
"EV>=12%, Odds 2.00-5.00",0.12,2.0,5.0,619,0.3473344103392569,3.07389337641357,0.27665029500436505,-4.980000000000004,-0.008045234248788375,3,-0.17060000000000003,0.23484126984126985,42.17
"EV>=10%, Odds 2.00-4.00",0.1,2.0,4.0,602,0.36046511627906974,2.8653986710963455,0.2545310602844809,-10.690000000000007,-0.01775747508305649,3,-0.1673148148148148,0.1634126984126984,35.18
"EV>=10%, Odds 1.50-4.00",0.1,1.5,4.0,764,0.4031413612565445,2.6223298429319373,0.24223715611647453,-17.340000000000003,-0.022696335078534035,3,-0.1452061855670103,0.14154838709677417,38.070000000000014
"EV>=15%, Odds 2.00-4.00",0.15,2.0,4.0,445,0.3752808988764045,2.8611460674157305,0.3009381471947393,11.400000000000002,0.02561797752808989,2,-0.13547619047619047,0.20318681318681317,28.26
"EV>=15%, Odds 1.50-4.00",0.15,1.5,4.0,546,0.4065934065934066,2.6512637362637363,0.28972194564514814,4.659999999999998,0.008534798534798532,2,-0.13337423312883437,0.17698113207547167,31.209999999999994
"EV>=15%, Odds 2.00-5.00",0.15,2.0,5.0,518,0.35135135135135137,3.066505791505791,0.30416259121112255,2.759999999999989,0.005328185328185307,2,-0.11834586466165416,0.2017272727272727,28.86
"EV>=5%, Odds 2.00-4.00",0.05,2.0,4.0,804,0.36318407960199006,2.8993407960199007,0.20916560616276833,3.4799999999999933,0.004328358208955215,2,-0.15793333333333334,0.1596202531645569,44.74000000000001
"EV>=8%, Odds 1.50-3.00",0.08,1.5,3.0,548,0.4744525547445255,2.1811861313868612,0.2234842295917485,1.8799999999999955,0.003430656934306561,2,-0.06907216494845361,0.08519607843137256,20.099999999999994
"EV>=15%, Odds 1.50-5.00",0.15,1.5,5.0,619,0.38287560581583197,2.847867528271405,0.2937430194958859,-3.979999999999997,-0.006429725363489494,2,-0.12005882352941175,0.17967999999999998,31.729999999999997
"EV>=3%, Odds 1.50-5.00",0.03,1.5,5.0,1272,0.3922955974842767,2.80937106918239,0.18733048317522888,-8.430000000000007,-0.006627358490566043,2,-0.1982700421940928,0.14382812499999997,75.29000000000002
"EV>=12%, Odds 1.50-5.00",0.12,1.5,5.0,760,0.38552631578947366,2.824513157894737,0.26425788353910834,-11.959999999999994,-0.01573684210526315,2,-0.16703124999999996,0.20290540540540536,41.07
"EV>=3%, Odds 3.00-5.00",0.03,3.0,5.0,576,0.2760416666666667,3.6093576388888886,0.18711075940088487,-19.270000000000007,-0.03345486111111112,2,-0.2913274336283186,0.2074576271186441,65.19
"EV>=8%, Odds 1.50-4.00",0.08,1.5,4.0,866,0.3960739030023095,2.627759815242494,0.22422203271019964,-37.77000000000002,-0.04361431870669748,2,-0.14359756097560977,0.11029585798816566,51.26000000000002
"EV>=8%, Odds 2.00-4.00",0.08,2.0,4.0,678,0.3480825958702065,2.8789970501474924,0.23610853946243326,-32.46,-0.047876106194690266,2,-0.16,0.1086861313868613,47.47000000000001
"EV>=15%, Odds 3.00-5.00",0.15,3.0,5.0,266,0.2631578947368421,3.6627443609022556,0.3062862330489827,-16.740000000000006,-0.06293233082706769,2,-0.30190476190476195,0.35080645161290325,40.59000000000001
"EV>=12%, Odds 3.00-5.00",0.12,3.0,5.0,325,0.25846153846153846,3.6635384615384616,0.27533956608559806,-26.840000000000003,-0.0825846153846154,2,-0.3975342465753425,0.38071428571428567,43.24000000000001
"EV>=10%, Odds 3.00-5.00",0.1,3.0,5.0,378,0.24338624338624337,3.6555026455026454,0.25217892318974966,-51.26,-0.1356084656084656,2,-0.368375,0.18411764705882352,68.71
"EV>=5%, Odds 1.50-5.00",0.05,1.5,5.0,1148,0.3885017421602787,2.8111324041811847,0.2032494453097081,-25.300000000000004,-0.02203832752613241,1,-0.16682464454976303,0.14222707423580783,66.85000000000001
"EV>=5%, Odds 2.00-5.00",0.05,2.0,5.0,922,0.33947939262472887,3.078947939262473,0.21341149265757361,-25.729999999999993,-0.02790672451193058,1,-0.1883132530120482,0.14395721925133687,68.35000000000001
"EV>=10%, Odds 1.50-5.00",0.1,1.5,5.0,868,0.37672811059907835,2.8248732718894014,0.2449466528171379,-40.55000000000001,-0.046716589861751166,1,-0.15456310679611648,0.1250828729281768,64.73000000000003
"EV>=10%, Odds 2.00-5.00",0.1,2.0,5.0,706,0.3342776203966006,3.078611898016997,0.2560512828095562,-33.900000000000006,-0.048016997167138815,1,-0.18710743801652893,0.14006578947368417,58.74000000000001
"EV>=8%, Odds 1.50-5.00",0.08,1.5,5.0,974,0.37166324435318276,2.814681724845996,0.2280228806313186,-64.98,-0.06671457905544148,1,-0.1635955056179775,0.09357142857142856,82.78000000000002
"EV>=8%, Odds 2.00-5.00",0.08,2.0,5.0,786,0.3244274809160305,3.0761068702290073,0.2391852355768463,-59.670000000000016,-0.07591603053435117,1,-0.1841304347826087,0.08896341463414632,74.12000000000002
"EV>=5%, Odds 3.00-5.00",0.05,3.0,5.0,516,0.26356589147286824,3.6053682170542634,0.20434653854878276,-42.160000000000004,-0.08170542635658916,1,-0.30619999999999997,0.1920560747663551,65.72
"EV>=8%, Odds 3.00-5.00",0.08,3.0,5.0,426,0.23943661971830985,3.6296009389671364,0.23386133314231478,-66.86000000000001,-0.15694835680751176,1,-0.352125,0.10265957446808512,79.41000000000001
